Algorithm A,Algorithm B
99.88028198,98.42538846
31.66221986,56.13549717
35.25473974,24.7533042
78.67858119,58.27474426
53.28619028,99.93671581
85.16854309,54.19382396
81.94174701,82.97897322
15.17952238,18.10505659
23.11228719,34.27816153
39.07784007,50.33126301
44.59654044,86.23413853
71.21186948,17.94218021
60.18882606,57.78404931
81.60663967,7.839485251
62.09241939,29.49183556
47.35369463,99.2382927
31.98743586,73.37896487
7.331394637,69.36819622
3.215656732,27.17072592
57.29644198,73.32537414
57.33508025,81.22973521
7.769902796,77.41425014
10.30366956,57.48307147
29.10507512,58.62839859
37.98850677,44.51645434
62.73444691,39.18605498
6.950322329,33.43581797
17.09952962,16.67156378
25.62341006,43.61626404
3.228543489,51.94617941
42.226409,26.78455282
71.20816158,34.75379533
91.78985003,92.98974304
85.93386163,98.10807365
27.23369801,16.94649169
6.77185785,54.24624004
9.399206727,9.144120256
97.22141111,77.53647487
80.49235481,39.38730284
55.88923241,50.41330361
46.70246427,88.80569518
48.81031059,28.98107479
9.21601078,76.68325122
10.77681303,5.715878314
35.86369525,31.40940527
34.37850187,52.46268965
51.63976438,79.95808931
2.074274607,26.7363762
20.70821689,93.32068775
72.3664724,8.768217388
91.60271911,79.14969175
64.31564027,43.3085535
15.57330713,39.43576292
52.88601888,43.40215133
14.10861365,65.13316659
88.37518725,68.95363761
38.90714587,81.50838083
21.14035848,24.27305651
83.01067206,35.53505138
0.842315517,99.42944933
73.22086818,15.60898762
19.7478676,55.10032599
8.302580006,33.30403355
10.03689717,63.31234641
38.35888735,52.13714961
4.00401426,47.30785931
7.297023293,11.41496777
73.63981847,26.91167963
82.58506504,55.79515315
20.50555991,13.71893858
71.35737031,12.07867221
82.17869338,32.75691782
19.66995781,62.76653619
35.67268676,53.05180155
48.9253589,66.31749887
90.61876261,73.15077215
35.15142095,62.37685543
40.16072883,57.32727482
40.09762856,87.43839283
29.41686357,94.0663537
13.77662933,34.75099795
34.60645857,68.03857361
22.65718975,27.78415975
5.802660505,87.47422713
62.80249625,62.61900739
2.014465164,34.28372355
20.07541771,19.50635004
6.836347934,79.29175481
50.9756014,46.55414204
42.62502366,40.40599525
86.89538739,9.941720442
10.89743369,50.02917542
31.6531033,71.13403207
10.56356428,80.13060125
58.11435014,80.6641715
64.5784935,65.10090792
42.61469811,19.33542878
36.94089928,49.46666755
32.35796539,44.67439372
35.63151751,77.43812375
